Date,pm10
4/20/2018 0:00,17
4/20/2018 1:00,12
4/20/2018 2:00,11
4/20/2018 3:00,10
4/20/2018 4:00,12
4/20/2018 5:00,14
4/20/2018 6:00,30
4/20/2018 7:00,25
4/20/2018 8:00,36
4/20/2018 9:00,41
4/20/2018 10:00,31
4/20/2018 11:00,44
4/20/2018 12:00,
4/20/2018 13:00,
4/20/2018 14:00,
4/20/2018 15:00,
4/20/2018 16:00,
4/20/2018 17:00,
4/20/2018 18:00,
4/20/2018 19:00,
4/20/2018 20:00,
4/20/2018 21:00,
4/20/2018 22:00,
4/20/2018 23:00,
