"Method"|"Method.Label"
"124"|"bgi_model_pq100_pm10"
"125"|"bgi_model_pq200_pm10"
"126"|"r_-_p_model_2000"
"127"|"r_-_p_model_2025"
"130"|"andersen_model_raas10-100_single_channel"
"131"|"andersen_model_raas10-200"
"132"|"andersen_model_raas10-300"
"141"|"tisch_environ._model_te-6060_hi-vol_ssi"
"150"|"thermo_andersen_fh_62_c14_continuous"
"151"|"environnement_s.a._model_mp101m"
"156"|"dkk_toa_models_fpm_222/222c,_fpm223/223c,_dub-222(s)/223(s)"
"162"|"ecotech_model_3000_pm10_hi_vol_sampler"
"193"|"opsis_model_sm200"
"197"|""
"198"|""
"205"|"t-api_m602_beta"
"208"|"thermo_scientific_1405-df_fdms_dichotomous_fem"
"216"|"tisch_model_te-wilbur10"
"226"|"met_one_e-bam_plus_pm10"
"231"|"met_one_e-frm_pm10"
"239"|"t-api_t640x_at_16.67_lpm"
"702"|""
"771"|""
"772"|""
"773"|""
"774"|""
"790"|""
"792"|""
"879"|""
"900"|""
"116"|"bgi_inc_model_pq200_pm2.5"
"117"|"r_&_p_co_model_2000_pm-2.5"
"118"|"r_&_p_co_plus_model_2025pm_seq"
"119"|"andersen_raas2.5-100_pm2.5_sam"
"120"|"andersen_raas2.5-300_pm2.5_seq"
"123"|"thermo_envir_model_605_caps"
"128"|"andersen_raas2.5-200_pm2.5_audit"
"129"|"r_&_p_co_model_2000_pm-2.5_audit"
"135"|"urg_mass100_single_pm2.5_sampler"
"136"|"urg_mass300_sequential_pm2.5_sampler"
"142"|"bgi_models_pq200-vscc_or_pq200a-vscc"
"143"|"r_&_p_model_2000_air_sampler_with_bgi_vscc"
"144"|"r_&_p_model_2000_audit_sampler_with_bgi_vscc"
"145"|"r_&_p_model_2025_sequential_air_sampler_with_bgi_vscc"
"153"|"thermo_electron_raas2.5-100_with_bgi_vscc"
"154"|"thermo_electron_raas2.5-200_audit_with_bgi_vscc"
"155"|"thermo_electron_raas2.5-300_sequential_with_bgi_vscc"
"170"|"met_one_bam-1020_pm2.5_vscc_fem"
"177"|"thermo_scientific_partisol_2000-d_dichot."
"179"|"thermo_scientific_dichot.__partisol-plus_model_2025-d_seq"
"181"|"thermo_scientific_1400a_with_series_8500c_fdms_vscc_fem"
"182"|"thermo_scientific_1405-df_fdms_dichotomous_fem"
"183"|"thermo_scientific_5014i_or_fh62c14-dhs_vscc_fem"
"184"|"thermo_scientific_model_5030_sharp_vscc_fem"
"195"|"grimm_edm_model_180_for_fem"
"203"|"opsis_sm200-dust_monitor_vscc_fem"
"204"|"teledyne_model_602_beta_plus_vscc_fem"
"209"|"met_one_bam-1022_pm2.5_w/_vscc_or_te-pm2.5c_fem"
"219"|"tisch_model_te-wilbur2.5"
"221"|"met_one_e-frm_pm2.5_with_vscc_or_wins"
"235"|"met_one_e-frm_pm2.5_with_urg-2000-30egn_cyclone_(fem)"
"236"|"t-api_t640_at_5.0_lpm"
"238"|"t-api_t640x_at_16.67_lpm"
"581"|"thermo_scientific_1405-f_fdms_w/vscc_fem"
"001"|""
"005"|"lear_siegler_sm1000"
"006"|"meloy_sa185-2a"
"009"|"thermo_electron_43"
"010"|"philips_pw9755"
"011"|""
"013"|""
"014"|""
"016"|""
"018"|""
"019"|""
"020"|""
"021"|""
"022"|""
"023"|""
"024"|"asarco_500"
"029"|"beckman_953"
"030"|"bendix_8303"
"031"|""
"032"|"meloy_sa285e"
"033"|""
"039"|"monitor_labs_8850"
"046"|"meloy_sa700"
"049"|"lear_siegler_am2020"
"050"|""
"059"|""
"060"|"thermo_electron_43a,_43b,_43c"
"061"|"dasibi_4108"
"075"|"monitor_labs_8850s"
"077"|"adv_poll_inst_inc_model_100"
"084"|"environ._sa_mdl_af21m"
"091"|""
"092"|"monitor_labs_9850_&_9850b"
"094"|""
"095"|""
"096"|""
"098"|""
"100"|"api_model_100_a_so2_analyzer"
"101"|"opsis_model_ar_500_system"
"114"|"horiba_apsa-360_or_apsa-360ace"
"115"|"dkk_corp_model_gfs-32_amb_so2"
"133"|"dkk_mdl_gfs-112e"
"138"|"sanoa_longpath"
"149"|"environnement_s.a._af22m_so2_analyzer"
"159"|"horiba_apsa-370"
"166"|"sir_s_a_model_s-5001"
"168"|"dkk-toa_model_gfs-312e"
"188"|"ecotech_serinus_50_so2_analyzer"
"194"|"seres_model_sf_2000_g_sulfur_dioxide_analyzer"
"511"|"philips_pw9700"
"513"|"monitor_labs_8450"
"560"|"thermo_electron_43c-tle/43i-tle"
"592"|"ecotech_ec9850t"
"600"|"teledyne_api_100_eu"
"801"|""
"811"|""
"850"|""
"900"|""
