"Method"|"Method.Label"
"051"|""
"052"|""
"053"|""
"054"|""
"055"|""
"056"|""
"057"|""
"058"|""
"059"|""
"062"|"WEDDING & ASSOC  HI-VOL"
"063"|"GMW Model 1200"
"064"|"SIERRA-ANDERSEN/GMW 321-B"
"065"|"SIERRA-ANDERSEN/GMW 321-C"
"071"|"OREGON DEQ MED VOLUME SAMPLER"
"073"|"MODL SA241-SA241M-G241-ORG241M"
"076"|"ANDERSEN MODEL FH62I-N PM10"
"079"|"RUPRCHT&PATSHNCK TEOM SER 1400"
"081"|"WEDDING & ASS. PM-10 AUTOMATED"
"098"|"R & P PARTISOL 2000"
"122"|"MODELS BAM 1020-GBAM 1020- ETC"
"124"|"BGI Model PQ100 PM10"
"125"|"BGI Model PQ200 PM10"
"126"|"R - P Model 2000"
"127"|"R - P Model 2025"
"130"|"Andersen Model RAAS10-100 Single Channel"
"131"|"Andersen Model RAAS10-200"
"132"|"Andersen Model RAAS10-300"
"141"|"Tisch Environ. Model TE-6060 Hi-Vol SSI"
"150"|"Thermo Andersen FH 62 C14 Continuous"
"151"|"Environnement S.A. Model MP101M"
"156"|"DKK_TOA Models FPM_222/222C, FPM223/223C, DUB-222(S)/223(S)"
"162"|"Ecotech Model 3000 PM10 Hi vol Sampler"
"193"|"OPSIS Model SM200"
"197"|""
"198"|""
"205"|"T-API M602 Beta"
"208"|"Thermo Scientific 1405-DF FDMS Dichotomous FEM"
"216"|"Tisch Model TE-Wilbur10"
"226"|"Met One E-BAM PLUS PM10"
"231"|"Met One E-FRM PM10"
"239"|"T-API T640X at 16.67 LPM"
"702"|""
"771"|""
"772"|""
"773"|""
"774"|""
"790"|""
"792"|""
"879"|""
"900"|""
"116"|"BGI INC Model PQ200 PM2.5"
"117"|"R & P CO Model 2000 PM-2.5"
"118"|"R & P CO PLUS MODEL 2025PM SEQ"
"119"|"Andersen RAAS2.5-100 PM2.5 SAM"
"120"|"Andersen RAAS2.5-300 PM2.5 SEQ"
"123"|"THERMO ENVIR MODEL 605 CAPS"
"128"|"Andersen RAAS2.5-200 PM2.5 Audit"
"129"|"R & P CO Model 2000 PM-2.5 Audit"
"135"|"URG MASS100 Single PM2.5 Sampler"
"136"|"URG MASS300 Sequential PM2.5 Sampler"
"142"|"BGI Models PQ200-VSCC or PQ200A-VSCC"
"143"|"R & P Model 2000 Air Sampler with BGI VSCC"
"144"|"R & P Model 2000 Audit Sampler with BGI VSCC"
