"Parameter"|"Parameter.Name"
17005|"2,2',3,4,4',5',6-Heptachlorobiphenyl_(TSP)_STP"
16992|"2,2',3,4,4',5'-Hexachlorobiphenyl_(TSP)_STP"
17016|"2,2',3,4,4',5,5',6-Octachlorobiphenyl_(TSP)_STP"
16937|"2,2',3,4,4',5,5'-Heptachlorobiphenyl_(TSP)_STP"
17004|"2,2',3,4,4',5,6'-Heptachlorobiphenyl_(TSP)_STP"
16980|"2,2',3,4,4'-Pentachlorobiphenyl_(TSP)_STP"
17047|"2,2',3,4,5',6-Hexachlorobiphenyl_(TSP)_STP"
16981|"2,2',3,4,5'-Pentachlorobiphenyl_(TSP)_STP"
17006|"2,2',3,4,5,5',6-Heptachlorobiphenyl_(TSP)_STP"
16993|"2,2',3,4,5,5'-Hexachlorobiphenyl_(TSP)_STP"
16982|"2,2',3,4,6'-Pentachlorobiphenyl_(TSP)_STP"
16965|"2,2',3,4-Tetrachlorobiphenyl_(TSP)_STP"
16985|"2,2',3,5',6-Pentachlorobiphenyl_(TSP)_STP"
16966|"2,2',3,5'-Tetrachlorobiphenyl_(TSP)_STP"
16996|"2,2',3,5,5',6-Hexachlorobiphenyl_(TSP)_STP"
16984|"2,2',3,5,5'-Pentachlorobiphenyl_(TSP)_STP"
16968|"2,2',3,6'-Tetrachlorobiphenyl_(TSP)_STP"
16967|"2,2',3,6-Tetrachlorobiphenyl_(TSP)_STP"
16957|"2,2',3-Trichlorobiphenyl_(TSP)_STP"
16997|"2,2',4,4',5,5'-Hexachlorobiphenyl_(TSP)_STP"
16987|"2,2',4,4',5-Pentachlorobiphenyl_(TSP)_STP"
16969|"2,2',4,4'-Tetrachlorobiphenyl_(TSP)_STP"
16970|"2,2',4,5'-Tetrachlorobiphenyl_(TSP)_STP"
16988|"2,2',4,5,5'-Pentachlorobiphenyl_(TSP)_STP"
17037|"2,2',4-Trichlorobiphenyl_(TSP)_STP"
16971|"2,2',5,5'-Tetrachlorobiphenyl_(TSP)_STP"
16972|"2,2',5,6'-Tetrachlorobiphenyl_(TSP)_STP"
16941|"2,2',5-Trichlorobiphenyl_(TSP)_STP"
16958|"2,2',6-Trichlorobiphenyl_(TSP)_STP"
16952|"2,2'-Dichlorobiphenyl_(TSP)_STP"
